Err2D,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
2.552756e+00,8.000000e-01,3.819204e-01,5.990926e-01,4.810811e-01,5.033369e-01,6.044145e-01,5.934729e-01,4.665235e-01,1.370108e-04,9.937108e-05
2.260170e+00,8.000000e-01,3.818492e-01,5.993811e-01,5.531532e-01,4.778596e-01,3.150243e-01,2.872036e-01,2.813516e-01,1.639020e-04,1.307233e-04
2.407895e+00,1,3.599776e-01,5.340247e-01,5.459459e-01,4.422617e-01,3.605687e-01,3.420662e-01,2.501060e-01,3.000569e-01,6.123836e-01
1.951286e+00,1,3.599133e-01,5.342948e-01,5.459459e-01,4.404823e-01,2.460438e-01,2.305544e-01,1.764078e-01,6.483144e-05,3.140172e-05
2.956935e+00,6.000000e-01,2.850890e-01,6.417890e-01,4.540541e-01,4.303426e-01,3.663402e-01,3.943992e-01,2.756302e-01,7.162804e-05,4.031805e-05
1.901743e+00,8.000000e-01,3.815630e-01,6.005358e-01,2.288288e-01,5.529349e-01,2.804504e-01,2.726388e-01,2.216626e-01,3.333354e-01,6.455219e-01
2.024328e+00,8.000000e-01,3.814914e-01,6.008245e-01,1.747748e-01,6.584054e-01,3.311385e-01,3.485389e-01,2.034585e-01,1.828989e-05,1.498529e-05
2.296888e+00,1,3.596559e-01,5.353757e-01,4.756757e-01,4.011001e-01,3.104443e-01,3.167200e-01,1.612896e-01,3.000059e-01,6.123952e-01
2.040962e+00,1,3.595913e-01,5.356462e-01,4.540541e-01,4.888798e-01,3.048576e-01,2.508444e-01,2.753057e-01,1.020074e-04,4.333578e-05
2.311271e+00,1,3.595268e-01,5.359167e-01,0,5.927333e-01,5.366147e-01,4.598938e-01,4.582810e-01,1.050074e-04,7.102966e-05
2.174777e+00,8.000000e-01,3.812042e-01,6.019810e-01,2.228228e-01,6.207395e-01,2.355679e-01,2.384964e-01,1.671204e-01,7.531850e-05,3.858069e-05
2.138634e+00,8.000000e-01,3.811322e-01,6.022706e-01,4.030030e-01,4.747598e-01,2.348122e-01,2.267549e-01,1.883935e-01,9.714970e-05,4.063094e-05
1.872057e+00,6.000000e-01,5.347109e-01,5.797585e-01,4.270270e-01,5.457975e-01,2.342894e-01,2.402585e-01,2.004284e-01,3.319100e-05,2.020138e-05
1.602953e+00,4.000000e-01,3.957498e-01,5.958881e-01,1.644788e-01,4.265841e-01,9.842183e-02,1.149686e-01,7.608742e-02,6.226593e-05,1.908798e-05
1.997478e+00,2.000000e-01,5.026388e-01,6.089692e-01,2.918919e-01,1,1.938358e-01,2.374943e-01,1.801859e-01,5.001094e-01,7.905618e-01
2.613197e+00,4.000000e-01,4.252506e-01,5.182705e-01,3.575290e-01,4.657042e-01,2.590702e-01,2.821204e-01,2.428854e-01,8.570680e-01,9.449554e-01
2.178731e+00,0,7.358083e-01,9.735123e-02,5.027027e-01,5.643978e-01,8.903924e-23,1.006115e-22,1.250494e-22,3.819665e-04,2.466954e-04
2.935123e+00,0,6.681520e-01,1.503740e-01,6.864865e-01,4.578360e-01,1.284559e-23,1.778011e-23,1.216054e-23,5.999963e-01,8.660524e-01
2.119579e+00,4.000000e-01,4.106693e-01,2.686744e-01,4.656371e-01,5.776673e-01,2.674047e-01,3.150542e-01,2.001842e-01,4.287266e-01,7.319078e-01
2.543380e+00,6.000000e-01,4.807192e-01,2.310713e-01,2.851351e-01,8.132478e-01,5.149034e-01,5.738538e-01,3.407733e-01,3.750241e-01,6.846731e-01
2.792234e+00,1,4.262119e-01,1.487713e-01,3.405405e-01,6.276409e-01,3.128071e-01,3.042917e-01,2.007126e-01,6.000787e-01,8.164930e-01
2.622559e+00,6.000000e-01,6.428917e-01,0,3.189189e-01,8.436782e-01,4.336600e-01,4.669623e-01,3.260884e-01,1.204131e-04,7.819743e-05
2.436704e+00,6.000000e-01,6.430001e-01,1.839306e-04,3.662162e-01,5.865489e-01,5.053948e-01,4.993297e-01,4.654683e-01,7.475387e-05,6.357821e-05
1.394980e+00,6.000000e-01,7.807199e-01,5.810090e-02,4.675676e-01,5.489231e-01,2.515913e-01,2.551902e-01,2.203387e-01,3.750678e-01,6.846617e-01
4.465623e-01,2.000000e-01,7.965728e-01,8.192786e-02,5.171171e-01,1.923319e-01,3.156321e-01,4.116973e-01,2.319274e-01,1.290464e-04,8.865935e-05
8.115435e-01,2.000000e-01,7.966727e-01,8.194488e-02,4.810811e-01,2.635070e-01,1.863739e-01,2.430690e-01,1.370323e-01,8.545887e-05,5.718803e-05
