Err2D,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
1.461753e+01,5.000000e-01,4.590174e-01,7.464804e-01,3.967268e-01,5.853198e-01,4.695193e-01,3.909468e-01,4.282653e-01,1.392795e-04,1.582035e-04
1.493471e+01,5.000000e-01,4.590028e-01,7.466813e-01,3.913511e-01,6.526151e-01,4.700236e-01,4.017395e-01,4.113260e-01,1.221677e-04,1.028697e-04
1.368721e+01,5.000000e-01,4.589879e-01,7.468824e-01,3.752240e-01,6.775151e-01,4.662990e-01,4.030213e-01,4.001988e-01,2.596395e-04,2.515725e-04
6.421105e+00,4.285714e-01,5.456374e-01,6.919229e-01,4.434954e-01,6.503611e-01,2.595810e-01,2.132420e-01,2.700157e-01,1.683332e-04,1.084569e-04
8.645996e+00,4.285714e-01,5.456440e-01,6.920965e-01,4.553219e-01,6.615222e-01,2.716937e-01,2.272369e-01,2.767708e-01,1.805125e-04,1.487201e-04
2.170706e+01,3.571429e-01,4.963427e-01,7.248631e-01,5.137976e-01,5.493753e-01,1.901013e-01,1.848707e-01,1.764246e-01,1.720466e-04,8.298949e-05
2.775041e+01,4.285714e-01,4.058504e-01,7.683647e-01,4.375821e-01,6.847939e-01,4.423247e-01,3.999778e-01,4.019180e-01,1.573494e-01,5.772786e-01
1.016529e+01,5.714286e-01,4.830625e-01,7.023882e-01,3.626807e-01,6.491800e-01,5.179645e-01,3.950808e-01,4.778327e-01,2.619708e-01,7.106599e-01
1.012355e+01,5.714286e-01,4.830346e-01,7.025685e-01,3.380420e-01,5.542758e-01,4.653362e-01,3.705093e-01,4.054372e-01,3.513769e-04,5.880261e-04
1.211727e+01,5.714286e-01,4.830077e-01,7.027490e-01,3.429698e-01,5.973649e-01,4.679745e-01,3.667392e-01,4.170091e-01,2.431282e-04,3.277446e-04
1.305228e+01,5.714286e-01,4.829806e-01,7.029293e-01,3.528252e-01,5.958142e-01,4.927305e-01,3.705927e-01,4.620732e-01,2.621557e-04,3.644183e-04
1.520695e+01,5.714286e-01,4.829532e-01,7.031098e-01,3.478975e-01,6.480906e-01,5.157437e-01,3.796592e-01,4.950445e-01,2.926775e-04,4.064674e-04
1.778103e+01,5.000000e-01,4.142355e-01,6.756230e-01,2.838371e-01,6.992472e-01,5.239935e-01,4.143481e-01,5.114917e-01,1.641907e-04,3.190513e-04
