Err2D,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
2.596543e+01,5.000000e-01,3.415885e-01,6.655011e-01,3.500761e-01,6.572965e-01,6.996835e-01,7.910773e-01,3.516186e-01,3.938011e-01,7.448177e-01
3.220693e+01,5.000000e-01,3.416779e-01,6.657396e-01,3.633942e-01,8.140433e-01,6.507412e-01,7.178625e-01,4.204118e-01,6.553283e-04,6.859505e-04
3.462489e+01,5.000000e-01,5.145202e-01,6.640900e-01,4.459665e-01,5.812838e-01,6.472919e-01,6.792928e-01,5.522427e-01,3.935876e-01,7.449002e-01
5.759000e+01,2.500000e-01,5.127582e-01,7.978137e-01,4.054795e-01,6.343996e-01,7.201211e-01,7.956027e-01,7.863200e-01,7.278031e-03,1.388961e-03
5.814749e+01,2.500000e-01,5.128063e-01,7.978881e-01,3.639269e-01,6.774768e-01,7.557558e-01,8.347939e-01,8.257361e-01,7.130163e-03,5.970947e-04
4.686464e+01,0,6.984319e-01,7.324474e-01,4.246575e-01,7.568999e-01,8.883080e-21,1.181595e-20,8.251842e-21,6.022680e-03,1.440439e-03
9.597071e+00,0,6.985467e-01,7.323625e-01,5.245434e-01,6.634618e-01,1.973034e-20,2.611953e-20,1.885391e-20,6.278425e-03,1.040297e-03
1.895005e+01,2.500000e-01,6.639275e-01,5.801708e-01,5.493151e-01,5.622151e-01,1.048419e-01,1.134541e-01,1.209562e-01,4.646801e-01,8.186950e-01
3.449785e+01,5.000000e-01,5.150474e-01,6.644975e-01,5.764840e-01,5.154002e-01,4.912325e-01,5.004738e-01,4.655060e-01,3.936500e-01,7.448757e-01
1.446737e+01,5.000000e-01,5.790174e-01,5.150255e-01,6.856925e-01,4.618380e-01,1.660263e-01,1.431562e-01,2.157674e-01,3.923883e-01,7.453631e-01
3.161402e+01,5.000000e-01,6.015822e-01,4.503154e-01,4.646119e-01,5.608255e-01,1.650745e-01,1.583173e-01,1.819848e-01,3.920965e-01,7.454757e-01
4.451462e+01,0,7.947375e-01,4.032839e-01,6.044521e-01,6.701753e-01,4.150003e-26,6.286699e-26,4.816879e-27,7.362314e-03,1.641210e-03
3.331011e+01,2.500000e-01,7.104454e-01,4.186524e-01,4.118721e-01,8.436795e-01,2.838281e-01,3.372304e-01,2.301877e-01,9.335714e-01,9.997423e-01
6.712162e+01,2.500000e-01,7.411496e-01,3.152371e-01,5.269406e-01,6.830634e-01,3.683508e-02,4.269477e-02,3.393309e-02,4.648870e-01,8.186039e-01
5.310669e+01,2.500000e-01,7.412224e-01,3.153902e-01,4.885845e-01,8.328137e-01,1.032167e-02,1.195993e-02,9.521490e-03,6.399696e-03,6.884119e-04
2.451220e+01,5.000000e-01,5.562976e-01,5.871924e-01,4.859209e-01,7.574434e-01,2.294473e-01,2.305201e-01,2.265409e-01,3.937914e-01,7.448222e-01
3.244318e+01,2.500000e-01,5.621087e-01,7.116688e-01,6.420091e-01,6.055789e-01,2.553615e-02,2.631551e-02,3.266385e-02,6.993369e-03,8.793001e-04
2.321623e+01,0,7.948516e-01,4.047477e-01,7.283105e-01,6.370389e-01,7.933936e-20,1.019906e-19,8.732963e-20,6.870363e-03,1.071399e-03
4.514066e+00,0,7.949276e-01,4.057303e-01,8.002283e-01,5.126347e-01,3.762795e-20,4.602015e-20,4.875959e-20,5.681865e-03,8.958037e-04
1.395025e+01,5.000000e-01,4.295930e-01,7.298055e-01,6.563927e-01,6.322984e-01,1.430766e-01,1.407253e-01,1.492082e-01,7.791463e-01,9.425379e-01
7.608422e+00,2.500000e-01,5.893651e-01,6.336650e-01,7.954338e-01,4.571957e-01,1.056828e-01,1.238941e-01,9.226982e-02,6.673438e-03,6.192073e-04
1.934998e+01,2.500000e-01,5.893407e-01,6.339276e-01,8.369863e-01,4.192735e-01,1.808709e-01,2.120538e-01,1.578586e-01,5.863859e-03,1.095765e-03
2.886370e+01,2.500000e-01,5.893154e-01,6.341922e-01,8.337900e-01,4.123184e-01,1.670078e-01,1.958145e-01,1.457070e-01,6.418537e-03,3.967707e-04
3.302866e+01,2.500000e-01,5.892904e-01,6.344584e-01,7.762557e-01,4.206078e-01,2.547037e-01,2.986580e-01,2.221385e-01,6.129464e-03,4.742395e-04
5.630397e+00,5.000000e-01,4.294119e-01,7.309407e-01,6.297565e-01,5.932142e-01,3.647451e-01,3.668326e-01,3.590787e-01,3.872684e-01,7.473381e-01
8.899642e+00,5.000000e-01,4.293741e-01,7.311679e-01,6.510654e-01,5.527422e-01,3.026451e-01,2.861644e-01,3.430109e-01,6.436175e-03,1.083710e-03
6.358347e+00,5.000000e-01,4.293365e-01,7.313946e-01,6.404110e-01,5.289433e-01,2.403175e-01,2.360808e-01,2.513431e-01,7.220547e-03,4.217193e-04
1.118249e+01,5.000000e-01,4.292992e-01,7.316219e-01,6.697108e-01,4.605410e-01,1.330984e-01,1.338510e-01,1.310558e-01,6.842136e-03,7.027275e-04
8.798725e+00,2.500000e-01,5.041796e-01,8.250899e-01,7.315068e-01,5.209785e-01,5.179861e-02,5.559917e-02,6.093619e-02,6.447662e-03,5.488855e-04
6.794969e+00,5.000000e-01,5.087885e-01,6.889073e-01,5.471842e-01,5.076036e-01,4.128662e-02,3.795686e-02,4.912482e-02,3.929929e-01,7.451288e-01
7.058248e+01,5.000000e-01,5.539698e-01,5.761375e-01,5.258752e-01,4.008886e-01,5.843802e-01,6.288226e-01,4.434996e-01,6.941657e-03,1.272466e-03
6.603947e+01,5.000000e-01,5.539858e-01,5.763940e-01,4.832572e-01,4.030463e-01,5.160427e-01,5.276052e-01,4.836228e-01,6.660213e-03,6.079092e-04
6.577324e+01,5.000000e-01,5.540019e-01,5.766504e-01,4.539574e-01,4.393398e-01,5.618091e-01,5.874048e-01,4.864451e-01,6.167760e-03,3.485037e-04
7.275889e+01,5.000000e-01,5.540168e-01,5.769062e-01,4.512938e-01,4.767677e-01,4.521161e-01,4.205558e-01,5.276162e-01,1.188724e-03,1.458015e-03
6.060824e+01,7.500000e-01,4.824577e-01,5.414190e-01,4.292237e-01,5.208334e-01,5.654359e-01,5.445170e-01,4.558494e-01,3.378034e-01,6.898592e-01
6.235656e+01,5.000000e-01,4.736992e-01,6.372037e-01,5.312024e-01,4.471931e-01,4.751154e-01,4.978192e-01,4.079320e-01,6.058757e-03,7.906636e-04
6.253897e+01,5.000000e-01,4.736451e-01,6.374764e-01,5.498478e-01,5.200767e-01,4.448959e-01,4.436846e-01,4.481331e-01,6.502022e-03,9.145255e-04
6.152114e+01,5.000000e-01,5.541155e-01,5.784484e-01,5.738204e-01,3.565567e-01,1.862420e-01,1.820941e-01,1.969503e-01,7.491795e-03,1.159884e-03
4.924735e+01,5.000000e-01,4.510145e-01,6.939891e-01,6.777017e-01,6.157380e-01,9.075408e-01,9.201712e-01,8.727148e-01,6.561855e-03,7.013235e-04
6.288597e+01,5.000000e-01,4.509756e-01,6.942167e-01,6.324201e-01,7.661777e-01,8.990533e-01,8.789982e-01,9.508245e-01,6.905950e-03,2.044236e-03
3.253774e+01,2.500000e-01,5.732804e-01,6.857890e-01,6.100457e-01,7.056563e-01,3.874970e-01,4.683773e-01,2.793668e-01,5.813736e-03,1.241076e-03
2.426816e+01,5.000000e-01,4.156876e-01,7.636362e-01,5.232116e-01,5.639098e-01,1.627860e-01,1.521168e-01,1.884747e-01,3.930343e-01,7.451158e-01
3.807294e+01,2.500000e-01,2.631158e-01,7.012554e-01,3.191781e-01,6.135992e-01,2.219682e-01,2.260025e-01,2.899986e-01,7.923313e-03,2.218823e-03
1.313812e+01,5.000000e-01,5.580143e-01,5.946051e-01,4.086758e-01,4.818738e-01,2.656648e-01,2.733612e-01,2.437950e-01,7.750172e-01,9.450577e-01
1.402680e+01,5.000000e-01,5.580555e-01,5.947885e-01,3.314307e-01,4.743927e-01,3.584512e-01,3.610266e-01,3.514411e-01,7.044666e-03,7.829693e-04
2.964978e+00,7.500000e-01,4.334341e-01,6.595009e-01,3.607306e-01,3.669565e-01,6.239293e-01,5.446874e-01,6.488409e-01,3.376665e-01,6.899100e-01
2.184841e+01,5.000000e-01,3.507427e-01,6.945244e-01,3.367580e-01,3.880245e-01,1.063015e-01,1.028675e-01,1.150179e-01,6.529989e-03,1.001476e-03
1.238991e+01,2.500000e-01,7.444459e-01,3.224470e-01,5.269406e-01,1.890660e-01,7.495922e-05,8.562344e-05,7.332533e-05,4.706169e-01,8.160806e-01
1.770520e+01,2.500000e-01,7.445185e-01,3.226026e-01,6.036530e-01,2.609988e-01,4.420781e-02,5.048135e-02,4.329570e-02,6.270909e-03,1.103745e-03
2.411359e+01,2.500000e-01,7.445920e-01,3.227624e-01,4.853881e-01,3.489330e-01,1.732954e-01,1.978260e-01,1.699213e-01,6.891613e-03,1.391055e-03
6.808552e+01,0,6.749165e-01,3.898434e-01,5.245434e-01,2.912077e-01,6.763048e-25,9.169091e-25,5.558835e-25,7.862310e-03,1.660586e-03
8.077778e+01,0,6.749387e-01,3.899540e-01,5.365297e-01,4.089953e-01,5.747140e-24,7.018565e-24,7.480581e-24,6.524458e-03,5.061324e-04
1.426321e+01,2.500000e-01,7.447976e-01,3.232176e-01,4.086758e-01,3.150827e-01,2.278513e-01,2.598608e-01,2.242068e-01,4.694322e-01,8.166023e-01
7.460723e+01,0,6.749912e-01,3.901850e-01,3.567352e-01,2.800191e-01,2.367346e-24,2.862227e-24,3.163302e-24,7.406842e-03,2.078263e-03
1.275066e+01,2.500000e-01,7.449378e-01,3.235285e-01,3.095890e-01,2.784315e-01,1.447458e-01,1.649771e-01,1.427645e-01,4.655405e-01,8.183164e-01
3.979044e+01,0,6.359431e-01,3.036599e-01,3.966895e-01,2.902026e-01,3.599377e-24,4.475418e-24,4.455237e-24,7.674223e-03,2.642702e-03
6.283878e+00,2.500000e-01,7.452899e-01,3.243095e-01,2.456621e-01,1.722694e-01,9.594380e-02,1.091833e-01,9.518058e-02,4.690068e-01,8.167896e-01
1.165597e+01,0,7.958764e-01,4.185082e-01,2.089041e-01,1.042380e-01,3.382549e-25,4.709093e-25,2.161006e-25,4.974595e-03,8.461102e-04
1.702846e+01,2.500000e-01,7.454249e-01,3.246165e-01,3.639269e-01,3.476027e-01,5.880097e-02,6.687321e-02,5.846723e-02,4.709756e-01,8.159235e-01
2.467028e+01,2.500000e-01,7.454961e-01,3.247699e-01,4.981735e-01,5.442154e-01,1.485538e-02,1.688945e-02,1.478796e-02,8.823591e-04,6.215684e-04
7.591033e+00,2.500000e-01,7.455693e-01,3.249360e-01,6.452055e-01,3.159382e-01,2.757996e-03,3.134654e-03,2.748609e-03,5.971447e-03,1.409447e-03
